HomeTeam,AwayTeam,FTR,HST,AST,HC,AC,HAS,HDS,AAS,ADS,FFPTSH,FFHG,FFAG,PSH,SSH,CSH,PSA,SSA,CSA,B365H,B365D,B365A,B365_Pred,T2M_RANGE,QV2M,PRECTOTCORR,PS,WS10M_RANGE,HS,AS,HTR,HF,AF,HY,AY,HR,AR
Watford,Newcastle,D,5,2,3,6,0.8724832214765101,1.1764705882352942,0.7563025210084033,0.7718120805369127,2.0,1.6666666666666667,0.6666666666666666,1.0,1.1333333333333333,1.6,1.0,0.6,1.4,1.85,3.6,4.0,H,6.12,6.53,0.2,102.11,4.48,12,8,A,17,16,1,2,0,0
Burnley,West Ham,H,5,4,5,5,0.8053691275167785,1.3445378151260505,0.8403361344537815,0.9395973154362416,1.3333333333333333,2.0,1.6666666666666667,0.7333333333333333,0.9333333333333333,2.1333333333333333,2.4,2.0,1.2,3.3,3.2,2.25,A,3.09,6.59,2.54,101.14,3.57,17,11,H,15,11,1,4,0,0
Crystal Palace,Chelsea,A,0,4,3,4,0.6375838926174496,0.9663865546218489,1.0084033613445378,0.9060402684563759,1.0,1.3333333333333333,2.0,1.0666666666666667,0.9333333333333333,1.2666666666666666,1.8,1.4,1.0,4.75,4.0,1.66,A,6.27,5.98,0.16,102.54,3.03,4,12,D,11,8,0,1,0,0
Man United,Bournemouth,H,8,3,4,5,1.1073825503355705,1.0504201680672272,1.092436974789916,1.5100671140939597,3.0,1.6666666666666667,0.3333333333333333,1.7333333333333334,2.066666666666667,1.6,1.2,0.8,2.4,1.33,4.75,10.0,H,4.0,6.53,1.55,101.72,3.22,11,7,H,10,7,2,0,1,0
Southampton,Man City,A,4,6,3,8,0.9060402684563759,1.2605042016806725,1.596638655462185,0.3691275167785235,0.0,0.6666666666666666,3.0,0.7333333333333333,1.0666666666666667,2.066666666666667,1.2,1.6,1.8,10.0,5.25,1.3,A,3.91,6.59,0.19,102.74,2.23,5,14,A,11,10,2,3,1,0
Arsenal,Fulham,H,9,4,8,3,1.4093959731543626,0.6722689075630253,0.5042016806722689,1.5100671140939597,3.0,5.0,1.0,1.9333333333333333,2.1333333333333333,1.4,1.0,0.6,1.4,1.33,5.75,9.5,H,8.16,5.31,0.09,102.59,2.2,16,9,H,7,12,0,1,0,0
Cardiff,Tottenham,A,3,4,5,3,0.7046979865771813,1.596638655462185,1.3865546218487397,0.7718120805369127,0.0,0.0,1.0,1.0666666666666667,1.0666666666666667,1.9333333333333333,2.4,3.0,1.0,7.5,4.5,1.5,A,5.88,5.74,0.14,102.49,1.88,6,13,A,6,6,1,0,0,0
Everton,Leicester,A,2,4,6,5,1.0067114093959733,0.8823529411764708,1.134453781512605,0.9395973154362416,2.0,1.3333333333333333,1.3333333333333333,1.4,1.5333333333333334,1.4,1.2,0.6,1.0,2.0,3.5,4.2,H,7.7,5.49,0.17,102.89,4.94,17,8,D,5,8,3,1,0,0
Bournemouth,Watford,D,12,3,4,2,1.0067114093959733,1.0504201680672272,1.092436974789916,1.0402684563758389,1.3333333333333333,2.0,1.3333333333333333,1.0666666666666667,1.2,2.0,1.6,1.8,1.4,2.6,3.6,2.75,H,1.99,4.33,0.01,104.11,3.87,25,11,D,9,15,1,4,0,0
Chelsea,Southampton,D,6,2,7,2,1.3087248322147653,0.5042016806722689,0.7563025210084033,1.174496644295302,3.0,2.3333333333333335,0.6666666666666666,1.8666666666666667,1.6,0.8,1.2,1.6,1.8,1.28,6.5,11.0,H,6.8,3.78,0.05,103.29,1.97,17,6,D,8,11,1,2,0,0
